Day,Ambient Temperature (oC),Total Radiation on Verticle Surface (90o) (W/m2)
0.0000,-2.8,0.0
0.0104,-2.8,0.0
0.0208,-2.8,0.0
0.0313,-2.8,0.0
0.0417,-2.7,0.0
0.0521,-2.7,0.0
0.0625,-2.6,0.0
0.0729,-2.6,0.0
0.0833,-2.5,0.0
0.0938,-2.5,0.0
0.1042,-2.5,0.0
0.1146,-2.4,0.0
0.1250,-2.4,0.0
0.1354,-2.4,0.0
0.1458,-2.3,0.0
0.1563,-2.3,0.0
0.1667,-2.2,0.0
0.1771,-2.2,0.0
0.1875,-2.1,0.0
0.1979,-2.1,0.0
0.2083,-2.0,0.0
0.2188,-2.0,0.0
0.2292,-1.9,0.0
0.2396,-1.9,0.0
0.2500,-1.8,0.0
0.2604,-1.8,0.0
0.2708,-1.8,0.0
0.2813,-1.7,0.0
0.2917,-1.7,0.0
0.3021,-1.7,1.2
0.3125,-1.5,5.0
0.3229,-1.3,8.0
0.3333,-1.2,10.0
0.3438,-1.1,11.7
0.3542,-1.0,13.4
0.3646,-0.9,16.0
0.3750,-0.8,20.6
0.3854,-0.7,25.9
0.3958,-0.6,30.5
0.4063,-0.4,32.1
0.4167,-0.2,27.6
0.4271,-0.2,20.7
0.4375,-0.2,15.9
0.4479,-0.2,16.9
0.4583,-0.2,20.9
0.4688,-0.2,25.6
0.4792,-0.1,29.3
0.4896,-0.1,30.7
0.5000,-0.0,31.6
0.5104,0.0,32.3
0.5208,0.1,33.0
0.5313,0.1,33.3
0.5417,0.2,33.3
0.5521,0.2,33.1
0.5625,0.3,33.1
0.5729,0.3,34.0
0.5833,0.4,37.9
0.5938,0.4,43.2
0.6042,0.5,47.4
0.6146,0.6,48.4
0.6250,0.7,47.3
0.6354,0.7,44.6
0.6458,0.8,40.2
0.6563,0.8,34.3
0.6667,0.8,27.1
0.6771,0.8,19.6
0.6875,0.7,12.6
0.6979,0.7,6.9
0.7083,0.6,1.8
0.7188,0.6,0.0
0.7292,0.5,0.0
0.7396,0.4,0.0
0.7500,0.3,0.0
0.7604,0.3,0.0
0.7708,0.2,0.0
0.7812,0.2,0.0
0.7917,0.1,0.0
0.8021,0.1,0.0
0.8125,-0.0,0.0
0.8229,-0.1,0.0
0.8333,-0.2,0.0
0.8437,-0.2,0.0
0.8542,-0.3,0.0
0.8646,-0.3,0.0
0.8750,-0.4,0.0
0.8854,-0.4,0.0
0.8958,-0.5,0.0
0.9062,-0.6,0.0
0.9167,-0.7,0.0
0.9271,-0.7,0.0
0.9375,-0.8,0.0
0.9479,-0.8,0.0
0.9583,-0.9,0.0
0.9687,-0.9,0.0
0.9792,-1.0,0.0
0.9896,-1.1,0.0
1.0000,-1.2,0.0
1.0104,-1.2,0.0
1.0208,-1.3,0.0
1.0313,-1.4,0.0
1.0417,-1.5,0.0
1.0521,-1.7,0.0
1.0625,-1.8,0.0
1.0729,-1.9,0.0
1.0833,-2.0,0.0
1.0938,-2.2,0.0
1.1042,-2.3,0.0
1.1146,-2.4,0.0
1.1250,-2.5,0.0
1.1354,-2.7,0.0
1.1458,-2.8,0.0
1.1563,-2.9,0.0
1.1667,-3.0,0.0
1.1771,-3.2,0.0
1.1875,-3.3,0.0
1.1979,-3.3,0.0
1.2083,-3.4,0.0
1.2188,-3.6,0.0
1.2292,-3.7,0.0
1.2396,-3.8,0.0
1.2500,-3.9,0.0
1.2604,-4.1,0.0
1.2708,-4.2,0.0
1.2813,-4.3,0.0
1.2917,-4.4,0.0
1.3021,-4.5,22.1
1.3125,-4.2,56.0
1.3229,-3.7,77.6
1.3333,-3.1,78.1
1.3438,-2.7,89.0
1.3542,-2.3,101.3
1.3646,-1.9,114.4
1.3750,-1.5,124.3
1.3854,-1.1,133.1
1.3958,-0.8,143.4
1.4063,-0.4,165.7
1.4167,-0.1,255.4
1.4271,0.3,331.9
1.4375,0.9,375.6
1.4479,1.6,358.1
1.4583,2.2,319.3
1.4688,2.5,248.6
1.4792,2.8,210.3
1.4896,2.9,156.9
1.5000,3.0,135.5
1.5104,3.0,119.8
1.5208,3.0,110.7
1.5313,3.0,109.8
1.5417,3.1,124.0
1.5521,3.1,149.3
1.5625,3.2,199.6
1.5729,3.3,220.6
1.5833,3.4,242.0
1.5938,3.4,286.4
1.6042,3.5,303.9
1.6146,3.7,316.3
1.6250,3.8,335.2
1.6354,3.8,331.7
1.6458,3.8,318.7
1.6563,3.8,291.0
1.6667,3.7,240.1
1.6771,3.5,172.5
1.6875,3.2,90.4
1.6979,2.8,14.5
1.7083,2.5,4.2
1.7188,2.3,0.0
1.7292,2.2,0.0
1.7396,2.1,0.0
1.7500,2.0,0.0
1.7604,1.8,0.0
1.7708,1.7,0.0
1.7813,1.5,0.0
1.7917,1.4,0.0
1.8021,1.2,0.0
1.8125,1.1,0.0
1.8229,1.0,0.0
1.8333,0.9,0.0
1.8438,0.7,0.0
1.8542,0.6,0.0
1.8646,0.5,0.0
1.8750,0.4,0.0
1.8854,0.2,0.0
1.8958,0.1,0.0
1.9063,-0.1,0.0
1.9167,-0.2,0.0
1.9271,-0.4,0.0
1.9375,-0.5,0.0
1.9479,-0.6,0.0
1.9583,-0.7,0.0
1.9688,-0.9,0.0
1.9792,-1.0,0.0
1.9896,-1.1,0.0
2.0000,-1.2,0.0
2.0104,-1.4,0.0
2.0208,-1.5,0.0
2.0313,-1.6,0.0
2.0417,-1.6,0.0
2.0521,-1.8,0.0
2.0625,-1.9,0.0
2.0729,-2.0,0.0
2.0833,-2.1,0.0
2.0938,-2.3,0.0
2.1042,-2.4,0.0
2.1146,-2.5,0.0
2.1250,-2.6,0.0
2.1354,-2.7,0.0
2.1458,-2.8,0.0
2.1563,-2.9,0.0
2.1667,-3.0,0.0
2.1771,-3.1,0.0
2.1875,-3.2,0.0
2.1979,-3.3,0.0
2.2083,-3.4,0.0
2.2188,-3.6,0.0
2.2292,-3.7,0.0
2.2396,-3.8,0.0
2.2500,-3.9,0.0
2.2604,-4.0,0.0
2.2708,-4.1,0.0
2.2813,-4.2,0.0
2.2917,-4.4,0.0
2.3021,-4.4,34.9
2.3125,-3.9,95.4
2.3229,-3.2,119.9
2.3333,-2.6,102.8
2.3438,-2.3,76.5
2.3542,-2.1,62.2
2.3646,-1.9,71.0
2.3750,-1.6,95.0
2.3854,-1.3,136.4
2.3958,-0.9,160.8
2.4063,-0.5,169.6
2.4167,-0.2,128.6
2.4271,0.1,95.8
2.4375,0.2,85.2
2.4479,0.2,96.4
2.4583,0.4,169.5
2.4688,0.7,224.5
2.4792,1.0,270.0
2.4896,1.4,290.9
2.5000,1.7,304.4
2.5104,2.1,319.2
2.5208,2.4,368.8
2.5313,2.7,403.3
2.5417,3.0,484.8
2.5521,3.4,557.5
2.5625,3.7,621.0
2.5729,4.1,633.5
2.5833,4.5,537.5
2.5938,4.7,386.5
2.6042,4.7,241.4
2.6146,4.6,180.9
2.6250,4.4,165.6
2.6354,4.2,154.0
2.6458,4.1,141.1
2.6563,3.9,121.8
2.6667,3.7,98.5
2.6771,3.5,73.3
2.6875,3.1,46.7
2.6979,2.7,12.6
2.7083,2.4,3.6
2.7188,2.3,0.0
2.7292,2.2,0.0
2.7396,2.2,0.0
2.7500,2.2,0.0
2.7604,2.2,0.0
2.7708,2.1,0.0
2.7812,2.1,0.0
2.7917,2.0,0.0
2.8021,2.0,0.0
2.8125,1.9,0.0
2.8229,1.9,0.0
2.8333,1.8,0.0
2.8437,1.8,0.0
2.8542,1.8,0.0
2.8646,1.7,0.0
2.8750,1.7,0.0
2.8854,1.7,0.0
2.8958,1.6,0.0
2.9062,1.6,0.0
2.9167,1.5,0.0
2.9271,1.5,0.0
2.9375,1.5,0.0
2.9479,1.4,0.0
2.9583,1.4,0.0
2.9687,1.4,0.0
2.9792,1.3,0.0
2.9896,1.3,0.0
3.0000,1.2,0.0
3.0104,1.2,0.0
3.0208,1.2,0.0
3.0312,1.1,0.0
3.0417,1.1,0.0
3.0521,1.1,0.0
3.0625,1.1,0.0
3.0729,1.1,0.0
3.0833,1.1,0.0
3.0937,1.1,0.0
3.1042,1.1,0.0
